,Time,Location_48,Location_68,Location_79,Location_107,Location_132,Location_138,Location_144,Location_148,Location_158,Location_161,Location_162,Location_163,Location_164,Location_170,Location_230,Location_231,Location_234,Location_237,Location_246,Location_249
0,2015-01-01 00:00:00,7,8,23,9,3,1,6,20,25,14,4,11,7,9,4,29,14,8,12,11
1,2015-01-01 00:10:00,25,18,29,20,6,1,17,14,26,24,6,17,9,12,6,35,27,8,15,23
2,2015-01-01 00:20:00,25,26,48,22,2,0,24,40,23,12,7,13,11,17,5,39,29,19,15,43
3,2015-01-01 00:30:00,25,24,42,35,4,0,18,41,39,8,9,16,17,24,2,39,28,21,23,34
4,2015-01-01 00:40:00,27,31,62,15,1,0,29,46,52,16,7,14,18,22,5,59,24,24,24,38
5,2015-01-01 00:50:00,21,26,69,27,2,0,26,42,42,12,12,17,21,18,7,49,54,23,32,38
6,2015-01-01 01:00:00,27,28,59,25,0,0,33,40,38,13,13,21,21,18,10,47,43,15,27,34
7,2015-01-01 01:10:00,29,37,64,25,0,0,25,33,45,15,14,15,25,26,4,34,51,16,26,34
8,2015-01-01 01:20:00,8,31,57,18,0,0,23,40,32,10,9,6,17,14,4,29,55,13,30,24
9,2015-01-01 01:30:00,18,36,46,21,0,0,14,26,25,13,7,14,14,12,5,29,30,6,21,23
10,2015-01-01 01:40:00,14,27,24,12,0,0,22,33,20,14,5,12,17,10,2,23,28,4,13,16
11,2015-01-01 01:50:00,16,47,35,16,0,0,37,52,31,6,3,9,20,6,3,30,26,3,28,34
12,2015-01-01 02:00:00,24,38,47,23,0,0,28,50,40,10,7,10,19,12,12,25,34,4,27,22
13,2015-01-01 02:10:00,53,54,87,30,0,0,43,54,53,10,7,20,44,25,12,43,67,8,31,41
14,2015-01-01 02:20:00,40,44,59,24,0,0,28,59,40,7,8,10,24,23,9,42,61,6,26,21
15,2015-01-01 02:30:00,25,45,65,26,0,0,29,48,30,10,4,16,41,21,12,21,53,3,31,18
16,2015-01-01 02:40:00,31,55,91,29,0,0,38,52,42,10,6,11,25,33,9,37,60,5,43,54
17,2015-01-01 02:50:00,26,54,68,24,0,0,27,38,29,6,10,13,26,11,6,27,34,3,35,35
18,2015-01-01 03:00:00,29,29,47,16,0,0,35,38,34,7,2,13,29,9,13,20,31,4,20,23
19,2015-01-01 03:10:00,26,60,69,28,0,0,28,50,35,7,10,15,34,15,14,27,25,1,42,34
20,2015-01-01 03:20:00,18,40,42,17,0,0,28,41,24,2,7,4,27,12,10,25,31,0,19,29
21,2015-01-01 03:30:00,19,40,43,10,0,0,28,25,30,6,4,8,8,9,7,20,26,0,18,23
22,2015-01-01 03:40:00,21,35,60,8,0,0,20,49,32,3,4,4,13,10,11,12,26,5,25,39
23,2015-01-01 03:50:00,19,22,47,17,1,0,15,27,29,6,2,3,18,18,8,12,21,3,10,27
24,2015-01-01 04:00:00,21,37,35,10,0,0,19,21,28,5,3,4,11,11,10,14,10,3,24,30
25,2015-01-01 04:10:00,21,35,35,7,0,0,7,31,26,8,1,3,17,4,4,11,13,3,21,17
26,2015-01-01 04:20:00,13,21,35,4,0,0,10,17,11,4,2,3,6,9,6,20,12,2,16,8
27,2015-01-01 04:30:00,8,23,17,16,0,0,5,13,18,2,3,6,7,5,5,6,5,3,7,10
28,2015-01-01 04:40:00,13,11,13,4,0,0,5,10,7,1,2,2,9,4,5,3,6,2,10,10
29,2015-01-01 04:50:00,9,11,20,8,0,0,3,11,2,2,1,1,10,7,4,6,3,0,6,3
30,2015-01-01 05:00:00,11,11,18,6,1,0,9,16,8,5,0,4,2,3,6,8,8,0,6,5
31,2015-01-01 05:10:00,6,13,18,2,3,0,4,9,7,2,0,2,6,3,5,6,7,1,6,6
32,2015-01-01 05:20:00,5,6,13,2,4,0,1,6,3,0,0,1,4,4,1,5,4,0,8,3
33,2015-01-01 05:30:00,2,7,5,2,3,0,4,6,3,1,2,2,5,5,0,5,1,1,1,1
34,2015-01-01 05:40:00,4,5,10,4,1,0,3,6,4,1,2,2,5,3,0,4,0,3,1,2
35,2015-01-01 05:50:00,7,3,10,3,6,0,3,4,5,0,2,1,3,1,1,5,2,1,1,2
36,2015-01-01 06:00:00,5,5,11,2,1,0,3,8,3,2,0,4,9,1,2,5,6,1,0,3
37,2015-01-01 06:10:00,5,6,7,4,4,0,4,5,2,0,1,0,2,4,1,3,2,2,1,1
38,2015-01-01 06:20:00,0,4,9,5,0,1,2,4,2,0,0,1,5,4,2,4,2,2,2,2
39,2015-01-01 06:30:00,2,5,5,1,3,0,3,6,1,0,0,3,0,4,2,1,3,0,1,3
40,2015-01-01 06:40:00,3,5,9,1,1,0,1,1,6,0,0,0,1,1,2,3,1,1,4,4
41,2015-01-01 06:50:00,1,4,4,4,1,0,3,2,0,2,0,2,4,1,0,2,1,0,3,1
42,2015-01-01 07:00:00,5,1,9,3,4,0,1,2,1,0,0,0,2,2,5,3,0,1,1,2
43,2015-01-01 07:10:00,2,2,2,1,3,0,2,2,1,1,1,0,2,0,0,2,3,1,3,2
44,2015-01-01 07:20:00,2,2,6,2,3,0,0,2,0,0,0,0,5,4,0,4,0,0,3,0
45,2015-01-01 07:30:00,0,1,7,0,2,1,2,5,1,0,0,3,0,2,3,1,0,1,4,0
46,2015-01-01 07:40:00,1,1,4,3,0,0,0,4,0,0,0,0,0,2,2,1,0,0,1,1
47,2015-01-01 07:50:00,2,1,4,1,1,0,0,4,1,0,1,1,0,1,0,2,0,1,1,1
48,2015-01-01 08:00:00,5,2,4,4,0,0,1,1,1,0,1,1,1,2,0,6,2,1,1,0
49,2015-01-01 08:10:00,3,1,4,2,0,1,1,0,2,1,1,2,1,6,2,4,5,0,2,0
50,2015-01-01 08:20:00,2,1,1,2,0,0,2,0,0,1,2,0,2,1,0,2,0,0,0,0
51,2015-01-01 08:30:00,2,3,3,1,0,0,1,1,1,1,1,1,1,2,2,2,2,0,0,0
52,2015-01-01 08:40:00,1,1,2,0,0,2,1,2,0,4,1,0,3,3,1,1,3,0,2,3
53,2015-01-01 08:50:00,2,1,4,2,0,3,1,2,1,1,0,0,1,0,4,3,0,1,1,1
54,2015-01-01 09:00:00,2,2,1,3,2,2,0,1,0,1,1,0,2,0,0,1,2,2,2,3
55,2015-01-01 09:10:00,2,1,3,2,5,1,1,1,0,1,1,2,0,5,3,3,0,1,1,2
56,2015-01-01 09:20:00,0,0,4,3,1,4,0,3,0,1,1,0,2,3,0,1,0,1,0,1
57,2015-01-01 09:30:00,4,3,1,0,3,2,3,4,0,3,0,0,2,1,3,4,1,1,2,1
58,2015-01-01 09:40:00,1,0,1,1,1,2,2,1,1,2,1,3,1,4,3,1,3,0,2,0
59,2015-01-01 09:50:00,0,1,2,3,4,0,1,0,1,2,1,2,2,1,2,3,2,3,0,1
60,2015-01-01 10:00:00,3,1,3,1,2,1,0,2,1,0,2,0,1,2,2,3,1,1,0,5
61,2015-01-01 10:10:00,5,1,3,3,4,7,1,3,2,1,1,1,0,1,0,5,0,2,1,3
62,2015-01-01 10:20:00,2,5,6,0,3,4,1,1,1,1,3,3,4,3,2,4,2,2,2,2
63,2015-01-01 10:30:00,2,2,7,1,3,5,2,0,2,2,3,3,2,2,3,2,1,3,0,2
64,2015-01-01 10:40:00,1,2,5,1,3,8,3,1,3,0,0,0,1,5,5,5,4,0,1,3
65,2015-01-01 10:50:00,0,4,4,1,0,5,2,3,2,1,6,0,2,2,5,2,0,3,2,3
66,2015-01-01 11:00:00,5,2,6,2,0,4,1,1,0,2,3,2,0,5,4,5,3,0,2,3
67,2015-01-01 11:10:00,1,1,6,5,3,3,2,0,2,4,4,5,1,3,8,6,5,3,3,2
68,2015-01-01 11:20:00,4,4,5,2,2,2,3,2,0,3,2,5,4,5,3,6,1,1,0,2
69,2015-01-01 11:30:00,5,4,3,6,2,9,1,2,2,1,4,4,0,3,5,6,2,2,1,3
70,2015-01-01 11:40:00,4,2,4,5,0,2,4,2,3,6,5,3,0,5,3,3,3,0,1,0
71,2015-01-01 11:50:00,7,1,5,1,1,4,1,2,1,1,1,3,0,5,7,10,3,3,2,4
72,2015-01-01 12:00:00,9,4,11,3,3,10,4,1,1,2,4,3,2,1,5,4,1,2,3,1
73,2015-01-01 12:10:00,1,5,6,2,2,2,0,4,2,3,3,2,4,4,1,7,1,0,5,7
74,2015-01-01 12:20:00,12,0,7,2,3,1,2,4,0,6,5,4,4,3,10,4,3,4,0,5
75,2015-01-01 12:30:00,6,5,8,3,8,1,1,4,3,7,5,1,2,3,6,1,0,5,0,7
76,2015-01-01 12:40:00,4,8,8,2,3,1,7,4,3,5,5,4,2,5,4,3,2,3,3,10
77,2015-01-01 12:50:00,1,3,5,5,3,7,0,5,3,3,0,0,1,3,3,7,5,3,1,5
78,2015-01-01 13:00:00,5,3,7,2,4,5,2,7,4,6,2,6,3,3,5,11,6,4,0,7
79,2015-01-01 13:10:00,3,2,2,5,1,3,5,4,5,4,5,5,3,1,5,6,1,3,1,1
80,2015-01-01 13:20:00,6,4,16,4,3,5,3,5,4,4,5,5,5,4,3,6,6,7,4,6
81,2015-01-01 13:30:00,2,3,7,3,4,4,3,5,4,3,1,4,7,4,8,6,4,3,3,4
82,2015-01-01 13:40:00,5,5,7,11,6,5,1,4,3,7,1,6,4,5,5,6,4,4,3,6
83,2015-01-01 13:50:00,3,4,10,8,7,8,7,6,1,6,6,5,3,4,0,7,8,5,5,5
84,2015-01-01 14:00:00,6,5,5,4,6,3,2,5,4,4,6,3,2,4,7,7,1,5,7,2
85,2015-01-01 14:10:00,11,4,8,6,9,12,6,5,5,1,2,1,3,4,5,8,8,4,3,3
86,2015-01-01 14:20:00,5,1,14,2,3,6,5,5,3,4,2,5,10,6,3,6,4,1,1,7
87,2015-01-01 14:30:00,9,4,4,2,6,3,1,8,3,3,3,1,2,5,4,7,1,4,4,11
88,2015-01-01 14:40:00,5,2,9,2,6,4,7,6,6,3,5,6,3,5,3,10,4,4,2,6
89,2015-01-01 14:50:00,7,1,9,4,9,5,6,9,4,7,4,3,7,12,8,7,2,3,2,6
90,2015-01-01 15:00:00,4,5,6,4,13,9,3,3,7,3,6,8,6,4,6,9,3,3,2,8
91,2015-01-01 15:10:00,12,3,16,1,18,4,4,7,4,9,5,5,1,6,7,6,7,5,5,3
92,2015-01-01 15:20:00,7,5,7,4,17,6,8,2,2,4,2,1,4,4,5,6,5,4,1,6
93,2015-01-01 15:30:00,5,3,10,2,19,7,6,9,4,4,4,6,3,4,6,5,7,4,2,7
94,2015-01-01 15:40:00,6,3,13,7,11,8,5,4,6,9,4,6,6,8,4,9,5,11,3,5
95,2015-01-01 15:50:00,5,1,13,5,11,3,8,3,9,4,5,4,4,8,3,5,2,5,1,8
96,2015-01-01 16:00:00,4,4,16,0,4,5,7,7,4,11,2,6,8,6,5,6,6,5,4,6
97,2015-01-01 16:10:00,10,4,11,5,15,6,6,7,8,6,7,8,4,4,8,3,5,4,2,6
98,2015-01-01 16:20:00,5,6,15,8,11,7,7,4,5,6,1,5,6,8,6,9,7,6,11,3
99,2015-01-01 16:30:00,7,11,10,6,17,11,7,5,2,9,5,8,6,4,6,9,4,4,4,8
100,2015-01-01 16:40:00,8,6,12,7,9,12,16,7,6,4,3,14,3,6,1,11,12,8,5,7
101,2015-01-01 16:50:00,5,7,12,5,5,3,9,7,7,9,5,4,2,7,4,16,5,12,8,6
102,2015-01-01 17:00:00,7,8,7,4,0,8,7,7,7,13,2,11,5,12,5,7,9,6,4,5
103,2015-01-01 17:10:00,5,12,8,10,4,9,8,12,7,6,2,13,3,7,4,10,11,9,4,6
104,2015-01-01 17:20:00,6,6,11,5,7,12,12,10,5,4,3,4,7,6,5,15,4,7,11,5
105,2015-01-01 17:30:00,5,7,9,9,9,18,3,6,4,6,4,8,7,3,4,6,10,8,4,6
106,2015-01-01 17:40:00,4,6,12,10,7,11,3,6,7,9,3,7,4,8,5,9,9,7,2,10
107,2015-01-01 17:50:00,5,6,13,3,8,14,8,8,8,8,4,9,6,7,2,12,9,5,3,10
108,2015-01-01 18:00:00,6,11,12,3,5,5,5,9,8,10,3,9,5,5,4,9,8,4,3,5
109,2015-01-01 18:10:00,7,5,10,4,12,8,6,7,5,12,5,11,9,3,5,10,6,8,6,11
110,2015-01-01 18:20:00,5,7,12,5,10,19,10,7,8,6,3,7,3,10,8,10,8,7,5,7
111,2015-01-01 18:30:00,9,8,11,4,8,9,6,7,4,12,5,5,4,6,4,6,5,8,1,4
112,2015-01-01 18:40:00,5,4,20,11,6,7,5,10,6,5,6,6,7,7,2,7,7,6,8,6
113,2015-01-01 18:50:00,6,3,16,8,5,5,9,10,10,9,7,9,2,5,6,9,5,8,4,6
114,2015-01-01 19:00:00,12,1,9,8,8,9,9,10,4,7,4,6,5,11,11,15,5,6,5,4
115,2015-01-01 19:10:00,7,10,14,5,11,10,8,10,2,9,6,6,6,4,8,12,2,7,3,8
116,2015-01-01 19:20:00,3,8,13,9,8,3,9,6,7,8,3,7,7,12,2,12,4,6,1,9
117,2015-01-01 19:30:00,8,9,10,7,6,8,4,4,11,10,5,5,9,11,9,8,5,3,1,16
118,2015-01-01 19:40:00,10,4,11,7,14,4,7,8,6,4,6,3,8,7,9,11,8,6,6,8
119,2015-01-01 19:50:00,9,7,10,4,20,8,11,9,5,4,6,7,9,9,6,13,8,7,5,10
120,2015-01-01 20:00:00,5,4,15,6,15,11,8,8,2,4,8,7,4,8,8,8,2,3,1,10
121,2015-01-01 20:10:00,8,4,9,8,9,8,12,11,8,4,9,9,7,4,4,4,4,3,1,10
122,2015-01-01 20:20:00,9,8,12,11,11,5,4,10,5,4,5,4,3,5,7,13,11,1,2,6
123,2015-01-01 20:30:00,3,5,11,2,21,9,9,5,3,13,1,2,4,11,6,7,2,5,2,8
124,2015-01-01 20:40:00,5,6,13,11,11,7,6,7,3,5,7,1,4,4,7,10,4,4,6,7
125,2015-01-01 20:50:00,6,2,15,2,13,10,7,13,5,6,4,7,3,4,2,4,10,4,2,7
126,2015-01-01 21:00:00,6,4,6,4,10,12,6,6,9,3,4,7,3,7,5,15,1,4,2,6
127,2015-01-01 21:10:00,6,2,12,9,13,12,9,5,4,7,6,10,5,9,5,7,9,2,0,10
