,Time,Base_B02512,Base_B02598,Base_B02617,Base_B02682,Base_B02764,Base_B02765
0,2014-04-01 00:00:00,9.0,35.0,29.0,60.0,5.0,0.0
1,2014-04-01 01:00:00,4.0,18.0,18.0,22.0,4.0,0.0
2,2014-04-01 02:00:00,4.0,15.0,9.0,24.0,1.0,0.0
3,2014-04-01 03:00:00,4.0,24.0,18.0,46.0,1.0,0.0
4,2014-04-01 04:00:00,9.0,45.0,33.0,73.0,6.0,0.0
5,2014-04-01 05:00:00,24.0,87.0,67.0,146.0,9.0,0.0
6,2014-04-01 06:00:00,45.0,174.0,183.0,306.0,14.0,0.0
7,2014-04-01 07:00:00,63.0,231.0,241.0,446.0,20.0,0.0
8,2014-04-01 08:00:00,50.0,174.0,202.0,341.0,13.0,0.0
9,2014-04-01 09:00:00,35.0,133.0,114.0,239.0,11.0,0.0
10,2014-04-01 10:00:00,42.0,120.0,104.0,202.0,9.0,0.0
11,2014-04-01 11:00:00,55.0,155.0,115.0,208.0,14.0,0.0
12,2014-04-01 12:00:00,49.0,122.0,95.0,190.0,13.0,0.0
13,2014-04-01 13:00:00,53.0,152.0,118.0,257.0,11.0,0.0
14,2014-04-01 14:00:00,51.0,192.0,174.0,299.0,20.0,0.0
15,2014-04-01 15:00:00,61.0,238.0,220.0,426.0,22.0,0.0
16,2014-04-01 16:00:00,76.0,296.0,238.0,515.0,27.0,0.0
17,2014-04-01 17:00:00,83.0,336.0,297.0,515.0,31.0,0.0
18,2014-04-01 18:00:00,67.0,314.0,238.0,484.0,19.0,0.0
19,2014-04-01 19:00:00,72.0,270.0,202.0,451.0,23.0,0.0
20,2014-04-01 20:00:00,50.0,168.0,123.0,242.0,14.0,0.0
21,2014-04-01 21:00:00,56.0,226.0,193.0,383.0,20.0,0.0
22,2014-04-01 22:00:00,34.0,142.0,115.0,229.0,9.0,0.0
23,2014-04-01 23:00:00,15.0,71.0,73.0,151.0,7.0,0.0
24,2014-04-02 00:00:00,9.0,35.0,34.0,80.0,3.0,0.0
25,2014-04-02 01:00:00,4.0,25.0,19.0,31.0,3.0,0.0
26,2014-04-02 02:00:00,3.0,16.0,14.0,25.0,1.0,0.0
27,2014-04-02 03:00:00,5.0,17.0,23.0,33.0,2.0,0.0
28,2014-04-02 04:00:00,10.0,64.0,38.0,80.0,4.0,0.0
29,2014-04-02 05:00:00,22.0,90.0,70.0,157.0,5.0,0.0
30,2014-04-02 06:00:00,65.0,203.0,173.0,334.0,10.0,0.0
31,2014-04-02 07:00:00,77.0,282.0,251.0,468.0,21.0,0.0
32,2014-04-02 08:00:00,70.0,240.0,200.0,401.0,16.0,0.0
33,2014-04-02 09:00:00,49.0,185.0,141.0,269.0,12.0,0.0
34,2014-04-02 10:00:00,59.0,163.0,145.0,274.0,17.0,0.0
35,2014-04-02 11:00:00,52.0,177.0,145.0,324.0,8.0,0.0
36,2014-04-02 12:00:00,48.0,170.0,128.0,273.0,13.0,0.0
37,2014-04-02 13:00:00,54.0,174.0,156.0,306.0,19.0,0.0
38,2014-04-02 14:00:00,86.0,216.0,184.0,362.0,20.0,0.0
39,2014-04-02 15:00:00,102.0,278.0,234.0,497.0,27.0,0.0
40,2014-04-02 16:00:00,110.0,325.0,289.0,568.0,21.0,0.0
41,2014-04-02 17:00:00,128.0,428.0,350.0,663.0,31.0,0.0
42,2014-04-02 18:00:00,97.0,324.0,257.0,546.0,28.0,0.0
43,2014-04-02 19:00:00,73.0,300.0,233.0,465.0,15.0,0.0
44,2014-04-02 20:00:00,78.0,286.0,243.0,512.0,24.0,0.0
45,2014-04-02 21:00:00,71.0,276.0,210.0,410.0,27.0,0.0
46,2014-04-02 22:00:00,44.0,155.0,153.0,272.0,14.0,0.0
47,2014-04-02 23:00:00,20.0,97.0,62.0,165.0,4.0,0.0
48,2014-04-03 00:00:00,17.0,49.0,37.0,88.0,3.0,0.0
49,2014-04-03 01:00:00,7.0,30.0,23.0,45.0,1.0,0.0
50,2014-04-03 02:00:00,4.0,11.0,11.0,37.0,3.0,0.0
51,2014-04-03 03:00:00,5.0,37.0,19.0,68.0,1.0,0.0
52,2014-04-03 04:00:00,7.0,49.0,36.0,97.0,4.0,0.0
53,2014-04-03 05:00:00,17.0,104.0,58.0,170.0,5.0,0.0
54,2014-04-03 06:00:00,58.0,187.0,170.0,324.0,11.0,0.0
55,2014-04-03 07:00:00,74.0,279.0,210.0,445.0,14.0,0.0
56,2014-04-03 08:00:00,59.0,234.0,185.0,374.0,12.0,0.0
57,2014-04-03 09:00:00,39.0,160.0,121.0,260.0,11.0,0.0
58,2014-04-03 10:00:00,44.0,134.0,120.0,249.0,11.0,0.0
59,2014-04-03 11:00:00,51.0,137.0,114.0,238.0,9.0,0.0
60,2014-04-03 12:00:00,55.0,167.0,121.0,262.0,14.0,0.0
61,2014-04-03 13:00:00,65.0,207.0,153.0,325.0,16.0,0.0
62,2014-04-03 14:00:00,60.0,238.0,194.0,419.0,23.0,0.0
63,2014-04-03 15:00:00,95.0,305.0,272.0,548.0,27.0,0.0
64,2014-04-03 16:00:00,115.0,391.0,264.0,635.0,33.0,0.0
65,2014-04-03 17:00:00,121.0,437.0,334.0,713.0,35.0,0.0
66,2014-04-03 18:00:00,107.0,450.0,311.0,728.0,32.0,0.0
67,2014-04-03 19:00:00,100.0,357.0,285.0,606.0,26.0,0.0
68,2014-04-03 20:00:00,120.0,419.0,347.0,666.0,39.0,0.0
69,2014-04-03 21:00:00,112.0,450.0,358.0,762.0,32.0,0.0
70,2014-04-03 22:00:00,108.0,436.0,360.0,650.0,26.0,0.0
71,2014-04-03 23:00:00,42.0,231.0,151.0,352.0,17.0,0.0
72,2014-04-04 00:00:00,14.0,85.0,60.0,163.0,7.0,0.0
73,2014-04-04 01:00:00,12.0,52.0,30.0,87.0,3.0,0.0
